"ts_code","symbol","name","area","industry","fullname","market","list_date"
"000001.SZ",1,平安银行,深圳,银行,平安银行股份有限公司,主板,19910403
"000002.SZ",2,万科A,深圳,全国地产,万科企业股份有限公司,主板,19910129
"000005.SZ",5,ST星源,深圳,环境保护,深圳世纪星源股份有限公司,主板,19901210
"000006.SZ",6,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,主板,19920427
"000008.SZ",8,神州高铁,北京,运输设备,神州高铁技术股份有限公司,主板,19920507
"000009.SZ",9,中国宝安,深圳,电气设备,中国宝安集团股份有限公司,主板,19910625
"000010.SZ",10,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,主板,19951027
"000011.SZ",11,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,主板,19920330
"000012.SZ",12,南玻A,深圳,玻璃,中国南玻集团股份有限公司,主板,19920228
"000014.SZ",14,沙河股份,深圳,全国地产,沙河实业股份有限公司,主板,19920602
"000016.SZ",16,深康佳A,深圳,家用电器,康佳集团股份有限公司,主板,19920327
"000017.SZ",17,深中华A,深圳,服饰,深圳中华自行车(集团)股份有限公司,主板,19920331
"000019.SZ",19,深粮控股,深圳,农业综合,深圳市深粮控股股份有限公司,主板,19921012
"000020.SZ",20,深华发A,深圳,元器件,深圳中恒华发股份有限公司,主板,19920428
"000021.SZ",21,深科技,深圳,IT设备,深圳长城开发科技股份有限公司,主板,19940202
"000023.SZ",23,深天地A,深圳,水泥,深圳市天地(集团)股份有限公司,主板,19930429
"000025.SZ",25,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,主板,19930621
"000026.SZ",26,飞亚达,深圳,服饰,飞亚达精密科技股份有限公司,主板,19930603
"000027.SZ",27,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,主板,19930903
"000028.SZ",28,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,主板,19930809
"000029.SZ",29,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,主板,19930915
"000030.SZ",30,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,主板,19930929
"000031.SZ",31,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,主板,19931008
"000032.SZ",32,深桑达A,深圳,建筑工程,深圳市桑达实业股份有限公司,主板,19931028
"000034.SZ",34,神州数码,深圳,软件服务,神州数码集团股份有限公司,主板,19940509
"000035.SZ",35,中国天楹,江苏,环境保护,中国天楹股份有限公司,主板,19940408
"000036.SZ",36,华联控股,深圳,全国地产,华联控股股份有限公司,主板,19940617
"000037.SZ",37,深南电A,深圳,火力发电,深圳南山热电股份有限公司,主板,19940701
"000039.SZ",39,中集集团,深圳,运输设备,中国国际海运集装箱(集团)股份有限公司,主板,19940408
"000040.SZ",40,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,主板,19940808
"000042.SZ",42,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,主板,19940921
"000046.SZ",46,泛海控股,北京,多元金融,泛海控股股份有限公司,主板,19940912
"000048.SZ",48,京基智农,深圳,区域地产,深圳市京基智农时代股份有限公司,主板,19941101
"000049.SZ",49,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,主板,19950320
"000050.SZ",50,深天马A,深圳,元器件,天马微电子股份有限公司,主板,19950315
"000055.SZ",55,方大集团,深圳,装修装饰,方大集团股份有限公司,主板,19960415
"000056.SZ",56,皇庭国际,深圳,房产服务,深圳市皇庭国际企业股份有限公司,主板,19960708
"000058.SZ",58,深赛格,深圳,商品城,深圳赛格股份有限公司,主板,19961226
"000059.SZ",59,华锦股份,辽宁,石油加工,北方华锦化学工业股份有限公司,主板,19970130
"000060.SZ",60,中金岭南,深圳,铅锌,深圳市中金岭南有色金属股份有限公司,主板,19970123
"000061.SZ",61,农产品,深圳,农业综合,深圳市农产品集团股份有限公司,主板,19970110
"000062.SZ",62,深圳华强,深圳,元器件,深圳华强实业股份有限公司,主板,19970130
"000063.SZ",63,中兴通讯,深圳,通信设备,中兴通讯股份有限公司,主板,19971118
"000066.SZ",66,中国长城,深圳,IT设备,中国长城科技集团股份有限公司,主板,19970626
"000068.SZ",68,华控赛格,深圳,环境保护,深圳华控赛格股份有限公司,主板,19970611
"000069.SZ",69,华侨城A,深圳,旅游景点,深圳华侨城股份有限公司,主板,19970910
"000070.SZ",70,特发信息,深圳,通信设备,深圳市特发信息股份有限公司,主板,20000511
"000078.SZ",78,海王生物,深圳,医药商业,深圳市海王生物工程股份有限公司,主板,19981218
"000089.SZ",89,深圳机场,深圳,机场,深圳市机场股份有限公司,主板,19980420
"000090.SZ",90,天健集团,深圳,建筑工程,深圳市天健(集团)股份有限公司,主板,19990721
"000096.SZ",96,广聚能源,深圳,石油贸易,深圳市广聚能源股份有限公司,主板,20000724
"000099.SZ",99,中信海直,深圳,空运,中信海洋直升机股份有限公司,主板,20000731
"000100.SZ",100,TCL科技,广东,元器件,TCL科技集团股份有限公司,主板,20040130
"000151.SZ",151,中成股份,北京,商贸代理,中成进出口股份有限公司,主板,20000906
"000156.SZ",156,华数传媒,浙江,影视音像,华数传媒控股股份有限公司,主板,20000906
"000157.SZ",157,中联重科,湖南,工程机械,中联重科股份有限公司,主板,20001012
"000158.SZ",158,常山北明,河北,软件服务,石家庄常山北明科技股份有限公司,主板,20000724
"000159.SZ",159,国际实业,新疆,石油贸易,新疆国际实业股份有限公司,主板,20000926
"000166.SZ",166,申万宏源,新疆,证券,申万宏源集团股份有限公司,主板,20150126
"000301.SZ",301,东方盛虹,江苏,化纤,江苏东方盛虹股份有限公司,主板,20000529
"000333.SZ",333,美的集团,广东,家用电器,美的集团股份有限公司,主板,20130918
"000338.SZ",338,潍柴动力,山东,汽车配件,潍柴动力股份有限公司,主板,20070430
"000400.SZ",400,许继电气,河南,电气设备,许继电气股份有限公司,主板,19970418
"000401.SZ",401,冀东水泥,河北,水泥,唐山冀东水泥股份有限公司,主板,19960614
"000402.SZ",402,金融街,北京,全国地产,金融街控股股份有限公司,主板,19960626
"000403.SZ",403,派林生物,山西,生物制药,派斯双林生物制药股份有限公司,主板,19960628
"000404.SZ",404,长虹华意,江西,家用电器,长虹华意压缩机股份有限公司,主板,19960619
"000407.SZ",407,胜利股份,山东,供气供热,山东胜利股份有限公司,主板,19960703
"000408.SZ",408,藏格矿业,青海,农药化肥,藏格矿业股份有限公司,主板,19960628
"000409.SZ",409,云鼎科技,山东,软件服务,云鼎科技股份有限公司,主板,19960627
"000413.SZ",413,东旭光电,河北,元器件,东旭光电科技股份有限公司,主板,19960925
"000415.SZ",415,渤海租赁,新疆,多元金融,渤海租赁股份有限公司,主板,19960716
"000416.SZ",416,民生控股,山东,多元金融,民生控股股份有限公司,主板,19960719
"000417.SZ",417,合肥百货,安徽,百货,合肥百货大楼集团股份有限公司,主板,19960812
"000419.SZ",419,通程控股,湖南,百货,长沙通程控股股份有限公司,主板,19960816
"000421.SZ",421,南京公用,江苏,供气供热,南京公用发展股份有限公司,主板,19960806
"000422.SZ",422,湖北宜化,湖北,农药化肥,湖北宜化化工股份有限公司,主板,19960815
"000423.SZ",423,东阿阿胶,山东,中成药,东阿阿胶股份有限公司,主板,19960729
"000426.SZ",426,兴业矿业,内蒙,铅锌,内蒙古兴业矿业股份有限公司,主板,19960828
"000428.SZ",428,华天酒店,湖南,酒店餐饮,华天酒店集团股份有限公司,主板,19960808
"000429.SZ",429,粤高速A,广东,路桥,广东省高速公路发展股份有限公司,主板,19980220
"000430.SZ",430,张家界,湖南,旅游景点,张家界旅游集团股份有限公司,主板,19960829
"000488.SZ",488,晨鸣纸业,山东,造纸,山东晨鸣纸业集团股份有限公司,主板,20001120
"000498.SZ",498,山东路桥,山东,建筑工程,山东高速路桥集团股份有限公司,主板,19970609
"000501.SZ",501,武商集团,湖北,百货,武商集团股份有限公司,主板,19921120
"000503.SZ",503,国新健康,山东,软件服务,国新健康保障服务集团股份有限公司,主板,19921130
"000504.SZ",504,南华生物,湖南,医疗保健,南华生物医药股份有限公司,主板,19921208
"000505.SZ",505,京粮控股,海南,食品,海南京粮控股股份有限公司,主板,19921221
"000507.SZ",507,珠海港,广东,港口,珠海港股份有限公司,主板,19930326
"000513.SZ",513,丽珠集团,广东,化学制药,丽珠医药集团股份有限公司,主板,19931028
"000514.SZ",514,渝开发,重庆,区域地产,重庆渝开发股份有限公司,主板,19930712
"000517.SZ",517,荣安地产,浙江,区域地产,荣安地产股份有限公司,主板,19930806
